ID,流动比率,资产负债率,销售毛利率,净资产收益率,投入资本回报率,总资产报酬率,应收款周转率,营业收入,所得税,销售额,经营活动产生的现金流量净额,净利润,资产总计,负债合计,所有者权益合计,COUNT(data)_资产负债率_x,COUNT(data)_应收款周转率_x,MEDIAN(data.应收款周转率.COUNT(data))_流动比率,STD(data.净资产收益率.COUNT(data))_流动比率,STD(data.总资产报酬率.COUNT(data))_流动比率,SUM(data.流动比率.COUNT(data))_资产负债率,MAX(data.流动比率.COUNT(data))_销售毛利率,SUM(data.总资产报酬率.COUNT(data))_销售毛利率,MEAN(data.应收款周转率.COUNT(data))_净资产收益率,SUM(data.资产负债率.COUNT(data))_净资产收益率,MEAN(data.流动比率.COUNT(data))_投入资本回报率
0,0.5577,55.3147,25.2605,1.9564,2.1862,2.4826,3.3153,784513668.58,9951614.16,600698130.36,61574140.56,21266971.83,3085869728.98,1706939175.85,1378930553.13,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
1,1.972,46.4108,28.6456,16.8202,15.035,11.9568,3.4728,183422913.01,3605181.39,295356958.2,16510387.19,25075046.43,276744045.25,128439174.23,148304871.02,1.0,2.0,1.5,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0
2,1.9002,53.9537,34.4586,,-13.5247,-11.1792,10.4994,306851472.6,,321198072.0,21104877.46,-44685247.18,399717434.74,215662315.04,184055119.7,1.0,1.0,1.0,,,1.0,1.0,1.0,,,1.0
3,4.8713,17.4401,46.8673,21.6078,19.9251,18.2743,10.9375,305343811.83,6921549.79,292685434.99,-60763544.96,46317238.0,362933660.17,63296006.29,299637653.88,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
4,1.2952,67.8441,13.4894,10.8501,9.7614,5.8651,2.1053,4625372697.91,30281297.37,3168371546.09,-279012332.17,170848625.08,5307375448.74,3600743676.82,1706631771.92,1.0,2.0,1.5,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0
5,1.2323,70.1191,17.6528,3.5711,4.2595,2.9835,3.3812,4420088766.24,19171019.38,3891320823.62,-816190440.78,69799751.86,6885899498.76,4828330047.53,2057569451.23,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0
6,1.2415,45.3875,7.9652,-44.559,-30.0408,-21.631,7.1871,5019396300.8,23818862.54,5195400997.66,118873910.13,-1222014234.88,4463553259.52,2025893316.4,2437659943.12,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
7,2.2828,17.5001,26.6178,-69.9277,-63.7794,-57.8851,1.4155,84639705.39,8366765.47,84115890.59,-64103272.23,-891140235.68,1004765157.09,175834723.46,828930433.63,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
8,1.6027,38.278,25.8867,,11.6966,13.5269,8.4203,340071551.4,5393296.58,352151914.02,60988281.71,25822148.84,273066301.19,104524355.84,168541945.35,1.0,1.0,1.0,0.7071067811865476,0.0,2.0,2.0,1.0,,,2.0
9,1.0037,38.7016,33.5298,7.461,6.8486,6.1186,5.3345,965306166.91,12869454.98,819095700.34,102532381.33,70281669.23,1562196745.61,604595462.53,957601283.08,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
